# Based on the Artemis Motorway drive cycle,
# time [s],current [A]
586,-0.626841
587,0.166629
588,1.003891
589,1.003891
590,1.797208
591,1.029068
592,1.830625
593,1.457542
594,1.473106
595,1.080644
596,1.488518
597,1.094835
598,1.916991
599,1.121691
600,1.535363
601,1.550622
602,1.566491
603,1.162432
604,2.006104
605,1.191119
606,1.190814
607,1.615473
608,1.6318
609,1.219806
610,1.219806
611,1.562066
612,1.23125
613,1.231708
614,1.660945
615,0.819257
616,1.231403
617,1.660945
618,0.818799
619,1.661097
620,0.818494
621,0.890669
622,1.561456
623,0.891127
624,1.561913
625,0.891127
626,1.219806
627,1.562066
628,0.890822
629,1.219959
630,1.220111
631,1.561608
632,0.890822
633,1.219959
634,1.992981
635,0.818647
636,2.094606
637,1.261006
638,1.694057
639,1.711757
640,2.170291
641,1.763027
642,2.228733
643,1.815671
644,2.746471
645,2.348669
646,2.296483
647,2.898756
648,2.489815
649,2.053559
650,3.039139
651,2.133669
652,2.642557
653,2.193942
654,2.214389
655,2.732738
656,1.779965
657,2.677806
658,1.81445
659,2.315099
660,1.834134
661,1.833371
662,1.833677
663,2.336614
664,1.351492
665,1.833829
666,1.833982
667,1.833371
668,1.334401
669,1.317311
670,1.398337
671,1.286488
672,1.270008
673,1.74258
674,0.768292
675,1.705196
676,1.705348
677,1.705653
678,1.705196
679,1.705959
680,0.357366
681,1.270314
682,1.928588
683,2.230716
684,2.157473
685,2.275883
686,2.202335
687,2.420844
688,2.35172
689,2.177768
690,2.293278
691,2.014191
692,1.721981
693,1.320516
694,1.2047
695,1.185473
696,1.360952
697,2.231174
698,2.152743
699,1.673457
700,1.27657
701,1.357595
702,2.029603
703,2.140688
704,2.156863
705,2.173342
706,1.890288
707,1.795224
708,1.994049
709,2.201572
710,2.622263
711,2.658885
712,2.592508
713,2.830701
714,2.873121
715,2.291752
716,2.408331
717,2.74052
718,2.66865
719,1.64477
720,1.318074
721,1.190509
722,1.572747
723,2.071717
724,1.459373
725,0.83238
726,0.898146
727,1.465934
728,2.054627
729,2.062104
730,1.065995
731,0.941176
732,1.604028
733,1.993744
734,1.405356
735,0.80354
736,0.77409
737,1.71252
738,2.202335
739,2.124361
740,1.353628
741,1.146105
742,0.838331
743,0.243229
744,0.675364
745,1.303883
746,1.576867
747,1.387808
748,1.758145
749,1.85977
750,2.830854
751,3.0869
752,3.060349
753,3.028305
754,2.989395
755,2.742046
756,2.477607
757,2.197757
758,1.904021
759,1.701228
760,1.795529
761,1.892576
762,1.993896
763,2.099184
764,1.904784
765,1.397574
766,1.07866
767,0.953689
768,1.22179
769,1.795224
770,1.300526
771,1.283131
772,1.168841
773,-0.785382
774,-0.174258
775,0.885328
776,0.227207
777,1.464866
778,0.826886
779,2.082856
780,0.827039
781,0.807813
782,1.419089
783,2.056764
784,0.181735
785,2.029755
786,1.418631
787,2.70222
788,2.10956
789,3.460441
790,2.220493
791,2.249332
792,3.641566
793,2.365759
794,2.395361
795,3.023117
796,2.48127
797,3.22179
798,2.575265
799,2.607004
800,3.365225
801,2.702831
802,2.735943
803,2.034333
804,1.308309
805,1.282826
806,1.258412
807,-0.08423
808,0.467689
809,0.429999
810,-0.089265
811,0.34226
812,-0.484016
813,-0.500038
814,-0.214237
815,2.003357
816,2.02945
817,2.056153
818,2.083162
819,2.110323
820,3.460746
821,1.559319
822,2.890974
823,1.60708
824,2.955825
825,2.336156
826,2.365606
827,2.396124
828,1.734188
829,3.022812
830,3.18822
831,2.543526
832,3.292592
833,3.365835
834,2.702983
835,3.474632
836,2.063935
837,-0.399329
838,-0.084382
839,-0.107271
840,1.784237
841,1.783627
842,2.48127
843,1.810483
844,2.513008
845,2.543374
846,1.162585
847,1.139391
848,-0.404517
